,network,image,original_label,original_predicted_label,predicted_label,target,method,IM1,IM2,correctness,l1,l2,linf,implausibility,optim_time,faithfulness,weak correctness
100,mnist_output_100,11.0,6,6,,1.0,alibi-CF,,,0,,,,,8.63456130027771,,
101,mnist_output_100,11.0,6,6,,2.0,alibi-CF,,,0,,,,,8.133854866027832,,
102,mnist_output_100,11.0,6,6,,3.0,alibi-CF,,,0,,,,,8.104193210601807,,
103,mnist_output_100,11.0,6,6,,4.0,alibi-CF,,,0,,,,,8.833494663238525,,
104,mnist_output_100,11.0,6,6,6.0,5.0,alibi-CF,1.0,0.052195643601132255,0,35.405693,1.8050668,0.20403022,442.4615,10.680741548538208,,
105,mnist_output_100,11.0,6,6,,7.0,alibi-CF,,,0,,,,,8.244442701339722,,
106,mnist_output_100,11.0,6,6,,8.0,alibi-CF,,,0,,,,,8.297872543334961,,
107,mnist_output_100,11.0,6,6,,9.0,alibi-CF,,,0,,,,,9.146043300628662,,
108,mnist_output_100,12.0,9,9,,0.0,alibi-CF,,,0,,,,,8.390772342681885,,
109,mnist_output_100,12.0,9,9,,1.0,alibi-CF,,,0,,,,,8.346885442733765,,
110,mnist_output_100,12.0,9,9,,2.0,alibi-CF,,,0,,,,,8.231655359268188,,
111,mnist_output_100,12.0,9,9,,3.0,alibi-CF,,,0,,,,,9.233119487762451,,
112,mnist_output_100,12.0,9,9,,4.0,alibi-CF,,,0,,,,,9.282400608062744,,
113,mnist_output_100,12.0,9,9,,5.0,alibi-CF,,,0,,,,,8.588966608047485,,
114,mnist_output_100,12.0,9,9,,6.0,alibi-CF,,,0,,,,,9.501278162002563,,
115,mnist_output_100,12.0,9,9,,7.0,alibi-CF,,,0,,,,,8.538877964019775,,
116,mnist_output_100,12.0,9,9,,8.0,alibi-CF,,,0,,,,,8.718587636947632,,
117,mnist_output_100,13.0,0,0,,1.0,alibi-CF,,,0,,,,,8.75385594367981,,
118,mnist_output_100,13.0,0,0,,2.0,alibi-CF,,,0,,,,,10.744311571121216,,
119,mnist_output_100,13.0,0,0,,3.0,alibi-CF,,,0,,,,,9.608936071395874,,
120,mnist_output_100,13.0,0,0,,4.0,alibi-CF,,,0,,,,,8.707109212875366,,
121,mnist_output_100,13.0,0,0,,5.0,alibi-CF,,,0,,,,,8.767680883407593,,
122,mnist_output_100,13.0,0,0,,6.0,alibi-CF,,,0,,,,,9.852421760559082,,
123,mnist_output_100,13.0,0,0,,7.0,alibi-CF,,,0,,,,,8.896848917007446,,
124,mnist_output_100,13.0,0,0,,8.0,alibi-CF,,,0,,,,,9.02755093574524,,
125,mnist_output_100,13.0,0,0,,9.0,alibi-CF,,,0,,,,,9.023276090621948,,
126,mnist_output_100,14.0,1,1,,0.0,alibi-CF,,,0,,,,,9.26679754257202,,
127,mnist_output_100,14.0,1,1,,2.0,alibi-CF,,,0,,,,,10.079268217086792,,
128,mnist_output_100,14.0,1,1,,3.0,alibi-CF,,,0,,,,,9.05844235420227,,
129,mnist_output_100,14.0,1,1,,4.0,alibi-CF,,,0,,,,,9.43039059638977,,
130,mnist_output_100,14.0,1,1,,5.0,alibi-CF,,,0,,,,,9.34138822555542,,
131,mnist_output_100,14.0,1,1,,6.0,alibi-CF,,,0,,,,,10.386178255081177,,
132,mnist_output_100,14.0,1,1,,7.0,alibi-CF,,,0,,,,,10.387171268463137,,
133,mnist_output_100,14.0,1,1,,8.0,alibi-CF,,,0,,,,,9.38043451309204,,
134,mnist_output_100,14.0,1,1,,9.0,alibi-CF,,,0,,,,,9.60919952392578,,
135,mnist_output_100,15.0,5,5,,0.0,alibi-CF,,,0,,,,,9.562901973724363,,
136,mnist_output_100,15.0,5,5,,1.0,alibi-CF,,,0,,,,,9.781252384185793,,
137,mnist_output_100,15.0,5,5,,2.0,alibi-CF,,,0,,,,,9.641446590423584,,
138,mnist_output_100,15.0,5,5,,3.0,alibi-CF,,,0,,,,,9.714215755462646,,
139,mnist_output_100,15.0,5,5,,4.0,alibi-CF,,,0,,,,,10.808015823364258,,
140,mnist_output_100,15.0,5,5,,6.0,alibi-CF,,,0,,,,,10.745887279510498,,
141,mnist_output_100,15.0,5,5,,7.0,alibi-CF,,,0,,,,,10.933668851852415,,
142,mnist_output_100,15.0,5,5,,8.0,alibi-CF,,,0,,,,,10.226237297058104,,
143,mnist_output_100,15.0,5,5,,9.0,alibi-CF,,,0,,,,,10.662893533706663,,
144,mnist_output_100,16.0,9,9,,0.0,alibi-CF,,,0,,,,,11.091792345046995,,
145,mnist_output_100,16.0,9,9,,1.0,alibi-CF,,,0,,,,,10.899717092514038,,
146,mnist_output_100,16.0,9,9,,2.0,alibi-CF,,,0,,,,,10.32037353515625,,
147,mnist_output_100,16.0,9,9,,3.0,alibi-CF,,,0,,,,,11.257322072982788,,
148,mnist_output_100,16.0,9,9,,4.0,alibi-CF,,,0,,,,,10.404451847076416,,
149,mnist_output_100,16.0,9,9,,5.0,alibi-CF,,,0,,,,,11.154574155807495,,
150,mnist_output_100,16.0,9,9,,6.0,alibi-CF,,,0,,,,,10.551324367523192,,
151,mnist_output_100,16.0,9,9,,7.0,alibi-CF,,,0,,,,,12.00028395652771,,
152,mnist_output_100,16.0,9,9,,8.0,alibi-CF,,,0,,,,,10.908304452896118,,
153,mnist_output_100,17.0,7,7,,0.0,alibi-CF,,,0,,,,,11.530826330184937,,
154,mnist_output_100,17.0,7,7,,1.0,alibi-CF,,,0,,,,,10.729733943939207,,
155,mnist_output_100,17.0,7,7,,2.0,alibi-CF,,,0,,,,,12.242645263671877,,
156,mnist_output_100,17.0,7,7,,3.0,alibi-CF,,,0,,,,,10.852023363113403,,
157,mnist_output_100,17.0,7,7,,4.0,alibi-CF,,,0,,,,,11.731030464172363,,
158,mnist_output_100,17.0,7,7,,5.0,alibi-CF,,,0,,,,,10.854015827178957,,
159,mnist_output_100,17.0,7,7,,6.0,alibi-CF,,,0,,,,,12.483953714370728,,
160,mnist_output_100,17.0,7,7,,8.0,alibi-CF,,,0,,,,,10.930671691894531,,
161,mnist_output_100,17.0,7,7,,9.0,alibi-CF,,,0,,,,,12.038269281387327,,
162,mnist_output_100,18.0,3,3,,0.0,alibi-CF,,,0,,,,,12.022007942199709,,
163,mnist_output_100,18.0,3,3,,1.0,alibi-CF,,,0,,,,,11.496465921401978,,
164,mnist_output_100,18.0,3,3,,2.0,alibi-CF,,,0,,,,,11.099030256271362,,
165,mnist_output_100,18.0,3,3,,4.0,alibi-CF,,,0,,,,,11.24739933013916,,
166,mnist_output_100,18.0,3,3,,5.0,alibi-CF,,,0,,,,,12.202580690383911,,
167,mnist_output_100,18.0,3,3,,6.0,alibi-CF,,,0,,,,,11.377111434936523,,
168,mnist_output_100,18.0,3,3,,7.0,alibi-CF,,,0,,,,,11.871722936630247,,
169,mnist_output_100,18.0,3,3,,8.0,alibi-CF,,,0,,,,,11.644326448440552,,
170,mnist_output_100,18.0,3,3,,9.0,alibi-CF,,,0,,,,,13.117254972457886,,
171,mnist_output_100,19.0,4,4,,0.0,alibi-CF,,,0,,,,,12.530897617340088,,
172,mnist_output_100,19.0,4,4,,1.0,alibi-CF,,,0,,,,,12.640605926513672,,
173,mnist_output_100,19.0,4,4,,2.0,alibi-CF,,,0,,,,,11.607717752456663,,
174,mnist_output_100,19.0,4,4,,3.0,alibi-CF,,,0,,,,,13.204015731811523,,
175,mnist_output_100,19.0,4,4,,5.0,alibi-CF,,,0,,,,,12.663612127304075,,
176,mnist_output_100,19.0,4,4,,6.0,alibi-CF,,,0,,,,,12.246379375457764,,
177,mnist_output_100,19.0,4,4,,7.0,alibi-CF,,,0,,,,,11.805007934570312,,
178,mnist_output_100,19.0,4,4,,8.0,alibi-CF,,,0,,,,,11.902546167373655,,
179,mnist_output_100,19.0,4,4,,9.0,alibi-CF,,,0,,,,,13.651227474212646,,
180,mnist_output_100,20.0,9,9,,0.0,alibi-CF,,,0,,,,,12.96362805366516,,
181,mnist_output_100,20.0,9,9,,1.0,alibi-CF,,,0,,,,,13.062592029571531,,
182,mnist_output_100,20.0,9,9,,2.0,alibi-CF,,,0,,,,,11.98571753501892,,
183,mnist_output_100,20.0,9,9,,3.0,alibi-CF,,,0,,,,,13.189199924468994,,
184,mnist_output_100,20.0,9,9,,4.0,alibi-CF,,,0,,,,,12.89043641090393,,
185,mnist_output_100,20.0,9,9,,5.0,alibi-CF,,,0,,,,,13.175138235092165,,
186,mnist_output_100,20.0,9,9,,6.0,alibi-CF,,,0,,,,,12.176304817199709,,
187,mnist_output_100,20.0,9,9,,7.0,alibi-CF,,,0,,,,,13.796402215957642,,
188,mnist_output_100,20.0,9,9,,8.0,alibi-CF,,,0,,,,,12.160933494567873,,
189,mnist_output_100,21.0,6,6,,0.0,alibi-CF,,,0,,,,,12.644328594207764,,
190,mnist_output_100,21.0,6,6,,1.0,alibi-CF,,,0,,,,,13.259188175201416,,
191,mnist_output_100,21.0,6,6,,2.0,alibi-CF,,,0,,,,,12.485280275344849,,
192,mnist_output_100,21.0,6,6,,3.0,alibi-CF,,,0,,,,,13.045719385147097,,
193,mnist_output_100,21.0,6,6,,4.0,alibi-CF,,,0,,,,,13.362054586410522,,
194,mnist_output_100,21.0,6,6,,5.0,alibi-CF,,,0,,,,,13.536316156387327,,
195,mnist_output_100,21.0,6,6,,7.0,alibi-CF,,,0,,,,,12.466081142425535,,
196,mnist_output_100,21.0,6,6,,8.0,alibi-CF,,,0,,,,,13.995012521743774,,
197,mnist_output_100,21.0,6,6,,9.0,alibi-CF,,,0,,,,,13.576292514801024,,
198,mnist_output_100,22.0,6,6,,0.0,alibi-CF,,,0,,,,,15.07655930519104,,
199,mnist_output_100,22.0,6,6,,1.0,alibi-CF,,,0,,,,,13.693220376968384,,
200,mnist_output_100,22.0,6,6,,2.0,alibi-CF,,,0,,,,,12.901840448379517,,
201,mnist_output_100,22.0,6,6,,3.0,alibi-CF,,,0,,,,,14.607084035873411,,
202,mnist_output_100,22.0,6,6,,4.0,alibi-CF,,,0,,,,,12.87337040901184,,
203,mnist_output_100,22.0,6,6,,5.0,alibi-CF,,,0,,,,,13.258291482925417,,
204,mnist_output_100,22.0,6,6,,7.0,alibi-CF,,,0,,,,,14.030482053756714,,
205,mnist_output_100,22.0,6,6,,8.0,alibi-CF,,,0,,,,,14.130369424819946,,
206,mnist_output_100,22.0,6,6,,9.0,alibi-CF,,,0,,,,,14.228635311126707,,
207,mnist_output_100,23.0,5,5,,0.0,alibi-CF,,,0,,,,,13.202704906463625,,
208,mnist_output_100,23.0,5,5,,1.0,alibi-CF,,,0,,,,,14.548102140426636,,
209,mnist_output_100,23.0,5,5,,2.0,alibi-CF,,,0,,,,,14.179283618927002,,
210,mnist_output_100,23.0,5,5,,3.0,alibi-CF,,,0,,,,,13.426331281661987,,
211,mnist_output_100,23.0,5,5,,4.0,alibi-CF,,,0,,,,,14.5429368019104,,
212,mnist_output_100,23.0,5,5,,6.0,alibi-CF,,,0,,,,,14.496030569076538,,
213,mnist_output_100,23.0,5,5,,7.0,alibi-CF,,,0,,,,,14.92668628692627,,
214,mnist_output_100,23.0,5,5,,8.0,alibi-CF,,,0,,,,,13.546168327331545,,
215,mnist_output_100,23.0,5,5,,9.0,alibi-CF,,,0,,,,,13.71005082130432,,
216,mnist_output_100,24.0,4,4,,0.0,alibi-CF,,,0,,,,,15.527159929275513,,
217,mnist_output_100,24.0,4,4,,1.0,alibi-CF,,,0,,,,,14.771183490753174,,
218,mnist_output_100,24.0,4,4,,2.0,alibi-CF,,,0,,,,,13.933124542236328,,
219,mnist_output_100,24.0,4,4,,3.0,alibi-CF,,,0,,,,,14.043753623962402,,
220,mnist_output_100,24.0,4,4,,5.0,alibi-CF,,,0,,,,,15.154808521270752,,
221,mnist_output_100,24.0,4,4,,6.0,alibi-CF,,,0,,,,,14.04415774345398,,
222,mnist_output_100,24.0,4,4,,7.0,alibi-CF,,,0,,,,,13.999750137329102,,
223,mnist_output_100,24.0,4,4,,8.0,alibi-CF,,,0,,,,,15.33482813835144,,
224,mnist_output_100,24.0,4,4,,9.0,alibi-CF,,,0,,,,,15.25271701812744,,
225,mnist_output_100,25.0,0,0,,1.0,alibi-CF,,,0,,,,,14.337239503860474,,
226,mnist_output_100,25.0,0,0,,2.0,alibi-CF,,,0,,,,,14.39289617538452,,
227,mnist_output_100,25.0,0,0,,3.0,alibi-CF,,,0,,,,,15.537360668182371,,
228,mnist_output_100,25.0,0,0,,4.0,alibi-CF,,,0,,,,,15.506011486053469,,
229,mnist_output_100,25.0,0,0,,5.0,alibi-CF,,,0,,,,,14.247910022735596,,
230,mnist_output_100,25.0,0,0,,6.0,alibi-CF,,,0,,,,,14.310882568359377,,
231,mnist_output_100,25.0,0,0,,7.0,alibi-CF,,,0,,,,,14.523483753204346,,
232,mnist_output_100,25.0,0,0,,8.0,alibi-CF,,,0,,,,,15.161855936050417,,
233,mnist_output_100,25.0,0,0,,9.0,alibi-CF,,,0,,,,,14.683000564575195,,
234,mnist_output_100,26.0,7,7,7.0,0.0,alibi-CF,1.0,0.03193789823943477,0,39.57189,2.790751,0.83100265,480.1773,17.56745743751526,,
235,mnist_output_100,26.0,7,7,,1.0,alibi-CF,,,0,,,,,14.009868621826172,,
236,mnist_output_100,26.0,7,7,,2.0,alibi-CF,,,0,,,,,15.440016984939575,,
237,mnist_output_100,26.0,7,7,,3.0,alibi-CF,,,0,,,,,15.395028591156006,,
238,mnist_output_100,26.0,7,7,,4.0,alibi-CF,,,0,,,,,14.410595655441284,,
239,mnist_output_100,26.0,7,7,,5.0,alibi-CF,,,0,,,,,14.390305757522585,,
240,mnist_output_100,26.0,7,7,,6.0,alibi-CF,,,0,,,,,15.597439289093018,,
241,mnist_output_100,26.0,7,7,,8.0,alibi-CF,,,0,,,,,14.577070474624634,,
242,mnist_output_100,26.0,7,7,,9.0,alibi-CF,,,0,,,,,14.473065614700316,,
243,mnist_output_100,27.0,4,4,,0.0,alibi-CF,,,0,,,,,14.691308736801147,,
244,mnist_output_100,27.0,4,4,,1.0,alibi-CF,,,0,,,,,14.815667390823364,,
245,mnist_output_100,27.0,4,4,,2.0,alibi-CF,,,0,,,,,14.785553455352783,,
246,mnist_output_100,27.0,4,4,,3.0,alibi-CF,,,0,,,,,14.85227108001709,,
247,mnist_output_100,27.0,4,4,,5.0,alibi-CF,,,0,,,,,16.102242708206177,,
248,mnist_output_100,27.0,4,4,,6.0,alibi-CF,,,0,,,,,14.919116497039797,,
249,mnist_output_100,27.0,4,4,,7.0,alibi-CF,,,0,,,,,14.888928890228271,,
250,mnist_output_100,27.0,4,4,,8.0,alibi-CF,,,0,,,,,16.20898461341858,,
251,mnist_output_100,27.0,4,4,,9.0,alibi-CF,,,0,,,,,15.097569704055786,,
252,mnist_output_100,28.0,0,0,,1.0,alibi-CF,,,0,,,,,14.827916860580444,,
253,mnist_output_100,28.0,0,0,,2.0,alibi-CF,,,0,,,,,16.39308762550354,,
254,mnist_output_100,28.0,0,0,,3.0,alibi-CF,,,0,,,,,14.949166774749756,,
255,mnist_output_100,28.0,0,0,,4.0,alibi-CF,,,0,,,,,15.211915016174316,,
256,mnist_output_100,28.0,0,0,,5.0,alibi-CF,,,0,,,,,15.134324312210085,,
257,mnist_output_100,28.0,0,0,,6.0,alibi-CF,,,0,,,,,15.370214700698853,,
258,mnist_output_100,28.0,0,0,,7.0,alibi-CF,,,0,,,,,16.63108468055725,,
259,mnist_output_100,28.0,0,0,,8.0,alibi-CF,,,0,,,,,15.46484875679016,,
260,mnist_output_100,28.0,0,0,,9.0,alibi-CF,,,0,,,,,15.42497444152832,,
261,mnist_output_100,29.0,1,1,,0.0,alibi-CF,,,0,,,,,16.836721658706665,,
262,mnist_output_100,29.0,1,1,,2.0,alibi-CF,,,0,,,,,15.645493745803831,,
263,mnist_output_100,29.0,1,1,,3.0,alibi-CF,,,0,,,,,15.655769348144531,,
264,mnist_output_100,29.0,1,1,,4.0,alibi-CF,,,0,,,,,17.164909839630127,,
265,mnist_output_100,29.0,1,1,,5.0,alibi-CF,,,0,,,,,16.046637773513794,,
266,mnist_output_100,29.0,1,1,,6.0,alibi-CF,,,0,,,,,15.908835411071776,,
267,mnist_output_100,29.0,1,1,,7.0,alibi-CF,,,0,,,,,16.43487286567688,,
268,mnist_output_100,29.0,1,1,,8.0,alibi-CF,,,0,,,,,16.018014192581177,,
269,mnist_output_100,29.0,1,1,,9.0,alibi-CF,,,0,,,,,16.183626890182495,,
270,mnist_output_100,30.0,3,3,,0.0,alibi-CF,,,0,,,,,16.824686527252197,,
271,mnist_output_100,30.0,3,3,,1.0,alibi-CF,,,0,,,,,16.210280418395996,,
272,mnist_output_100,30.0,3,3,,2.0,alibi-CF,,,0,,,,,16.11567234992981,,
273,mnist_output_100,30.0,3,3,,4.0,alibi-CF,,,0,,,,,17.70337462425232,,
274,mnist_output_100,30.0,3,3,,5.0,alibi-CF,,,0,,,,,16.81550359725952,,
275,mnist_output_100,30.0,3,3,,6.0,alibi-CF,,,0,,,,,16.457760095596313,,
276,mnist_output_100,30.0,3,3,,7.0,alibi-CF,,,0,,,,,17.856027126312256,,
277,mnist_output_100,30.0,3,3,,8.0,alibi-CF,,,0,,,,,16.198623657226562,,
278,mnist_output_100,30.0,3,3,,9.0,alibi-CF,,,0,,,,,16.248040199279785,,
279,mnist_output_100,31.0,1,1,,0.0,alibi-CF,,,0,,,,,17.836597681045532,,
280,mnist_output_100,31.0,1,1,,2.0,alibi-CF,,,0,,,,,16.637606382369995,,
281,mnist_output_100,31.0,1,1,,3.0,alibi-CF,,,0,,,,,16.4298095703125,,
282,mnist_output_100,31.0,1,1,,4.0,alibi-CF,,,0,,,,,17.816495180130005,,
283,mnist_output_100,31.0,1,1,,5.0,alibi-CF,,,0,,,,,16.507174968719482,,
284,mnist_output_100,31.0,1,1,,6.0,alibi-CF,,,0,,,,,16.488471746444702,,
285,mnist_output_100,31.0,1,1,,7.0,alibi-CF,,,0,,,,,18.06972646713257,,
286,mnist_output_100,31.0,1,1,,8.0,alibi-CF,,,0,,,,,16.56991958618164,,
