,network,image,original_label,original_predicted_label,predicted_label,target,method,IM1,IM2,correctness,l1,l2,linf,implausibility,optim_time,weak correctness,weak_correctness
63,mnist_output_100,7.0,9,9,,0.0,alibi-CF,,,0,,,,,7.129940032958984,,0
64,mnist_output_100,7.0,9,9,,1.0,alibi-CF,,,0,,,,,6.3485496044158936,,0
65,mnist_output_100,7.0,9,9,,2.0,alibi-CF,,,0,,,,,6.412295341491699,,0
66,mnist_output_100,7.0,9,9,,3.0,alibi-CF,,,0,,,,,6.543552875518799,,0
67,mnist_output_100,7.0,9,9,,4.0,alibi-CF,,,0,,,,,7.428325176239014,,0
68,mnist_output_100,7.0,9,9,,5.0,alibi-CF,,,0,,,,,7.0204246044158936,,0
69,mnist_output_100,7.0,9,9,,6.0,alibi-CF,,,0,,,,,6.737757205963135,,0
70,mnist_output_100,7.0,9,9,,7.0,alibi-CF,,,0,,,,,6.802847623825073,,0
71,mnist_output_100,7.0,9,9,,8.0,alibi-CF,,,0,,,,,6.70611310005188,,0
72,mnist_output_100,8.0,5,5,,0.0,alibi-CF,,,0,,,,,6.99442982673645,,0
73,mnist_output_100,8.0,5,5,,1.0,alibi-CF,,,0,,,,,6.854647636413574,,0
74,mnist_output_100,8.0,5,5,,2.0,alibi-CF,,,0,,,,,6.8334572315216064,,0
75,mnist_output_100,8.0,5,5,,3.0,alibi-CF,,,0,,,,,6.923519134521484,,0
76,mnist_output_100,8.0,5,5,,4.0,alibi-CF,,,0,,,,,7.800694227218628,,0
77,mnist_output_100,8.0,5,5,,6.0,alibi-CF,,,0,,,,,7.015644550323486,,0
78,mnist_output_100,8.0,5,5,,7.0,alibi-CF,,,0,,,,,6.990417957305908,,0
79,mnist_output_100,8.0,5,5,,8.0,alibi-CF,,,0,,,,,6.953691244125366,,0
80,mnist_output_100,8.0,5,5,,9.0,alibi-CF,,,0,,,,,7.925891876220703,,0
81,mnist_output_100,9.0,9,9,,0.0,alibi-CF,,,0,,,,,7.806200504302978,,0
82,mnist_output_100,9.0,9,9,,1.0,alibi-CF,,,0,,,,,7.246276140213013,,0
83,mnist_output_100,9.0,9,9,,2.0,alibi-CF,,,0,,,,,7.298546075820923,,0
84,mnist_output_100,9.0,9,9,,3.0,alibi-CF,,,0,,,,,7.323145389556885,,0
85,mnist_output_100,9.0,9,9,,4.0,alibi-CF,,,0,,,,,8.211272716522217,,0
86,mnist_output_100,9.0,9,9,,5.0,alibi-CF,,,0,,,,,8.185831069946289,,0
87,mnist_output_100,9.0,9,9,,6.0,alibi-CF,,,0,,,,,7.424652338027954,,0
88,mnist_output_100,9.0,9,9,,7.0,alibi-CF,,,0,,,,,7.494160652160644,,0
89,mnist_output_100,9.0,9,9,,8.0,alibi-CF,,,0,,,,,7.558389663696289,,0
90,mnist_output_100,10.0,0,0,,1.0,alibi-CF,,,0,,,,,8.439050436019897,,0
91,mnist_output_100,10.0,0,0,,2.0,alibi-CF,,,0,,,,,8.42240023612976,,0
92,mnist_output_100,10.0,0,0,,3.0,alibi-CF,,,0,,,,,7.7076427936553955,,0
93,mnist_output_100,10.0,0,0,,4.0,alibi-CF,,,0,,,,,7.765721321105957,,0
94,mnist_output_100,10.0,0,0,,5.0,alibi-CF,,,0,,,,,7.827943801879883,,0
95,mnist_output_100,10.0,0,0,,6.0,alibi-CF,,,0,,,,,8.465094804763794,,0
96,mnist_output_100,10.0,0,0,,7.0,alibi-CF,,,0,,,,,8.63449740409851,,0
97,mnist_output_100,10.0,0,0,,8.0,alibi-CF,,,0,,,,,7.970504283905029,,0
98,mnist_output_100,10.0,0,0,,9.0,alibi-CF,,,0,,,,,10.24020791053772,,0
99,mnist_output_100,11.0,6,6,,0.0,alibi-CF,,,0,,,,,8.026600122451782,,0
100,mnist_output_100,11.0,6,6,,1.0,alibi-CF,,,0,,,,,8.63456130027771,,0
101,mnist_output_100,11.0,6,6,,2.0,alibi-CF,,,0,,,,,8.133854866027832,,0
102,mnist_output_100,11.0,6,6,,3.0,alibi-CF,,,0,,,,,8.104193210601807,,0
103,mnist_output_100,11.0,6,6,,4.0,alibi-CF,,,0,,,,,8.833494663238525,,0
104,mnist_output_100,11.0,6,6,6.0,5.0,alibi-CF,1.0,0.05219562369829566,0,35.405693,1.8050668,0.20403022,442.4615,10.680741548538208,,0
105,mnist_output_100,11.0,6,6,,7.0,alibi-CF,,,0,,,,,8.244442701339722,,0
106,mnist_output_100,11.0,6,6,,8.0,alibi-CF,,,0,,,,,8.297872543334961,,0
107,mnist_output_100,11.0,6,6,,9.0,alibi-CF,,,0,,,,,9.146043300628662,,0
108,mnist_output_100,12.0,9,9,,0.0,alibi-CF,,,0,,,,,8.390772342681885,,0
109,mnist_output_100,12.0,9,9,,1.0,alibi-CF,,,0,,,,,8.346885442733765,,0
110,mnist_output_100,12.0,9,9,,2.0,alibi-CF,,,0,,,,,8.231655359268188,,0
111,mnist_output_100,12.0,9,9,,3.0,alibi-CF,,,0,,,,,9.233119487762451,,0
112,mnist_output_100,12.0,9,9,,4.0,alibi-CF,,,0,,,,,9.282400608062744,,0
113,mnist_output_100,12.0,9,9,,5.0,alibi-CF,,,0,,,,,8.588966608047485,,0
114,mnist_output_100,12.0,9,9,,6.0,alibi-CF,,,0,,,,,9.501278162002563,,0
115,mnist_output_100,12.0,9,9,,7.0,alibi-CF,,,0,,,,,8.538877964019775,,0
116,mnist_output_100,12.0,9,9,,8.0,alibi-CF,,,0,,,,,8.718587636947632,,0
117,mnist_output_100,13.0,0,0,,1.0,alibi-CF,,,0,,,,,8.75385594367981,,0
118,mnist_output_100,13.0,0,0,,2.0,alibi-CF,,,0,,,,,10.744311571121216,,0
119,mnist_output_100,13.0,0,0,,3.0,alibi-CF,,,0,,,,,9.608936071395874,,0
120,mnist_output_100,13.0,0,0,,4.0,alibi-CF,,,0,,,,,8.707109212875366,,0
121,mnist_output_100,13.0,0,0,,5.0,alibi-CF,,,0,,,,,8.767680883407593,,0
122,mnist_output_100,13.0,0,0,,6.0,alibi-CF,,,0,,,,,9.852421760559082,,0
123,mnist_output_100,13.0,0,0,,7.0,alibi-CF,,,0,,,,,8.896848917007446,,0
124,mnist_output_100,13.0,0,0,,8.0,alibi-CF,,,0,,,,,9.02755093574524,,0
125,mnist_output_100,13.0,0,0,,9.0,alibi-CF,,,0,,,,,9.023276090621948,,0
126,mnist_output_100,14.0,1,1,,0.0,alibi-CF,,,0,,,,,9.26679754257202,,0
127,mnist_output_100,14.0,1,1,,2.0,alibi-CF,,,0,,,,,10.079268217086792,,0
128,mnist_output_100,14.0,1,1,,3.0,alibi-CF,,,0,,,,,9.05844235420227,,0
129,mnist_output_100,14.0,1,1,,4.0,alibi-CF,,,0,,,,,9.43039059638977,,0
130,mnist_output_100,14.0,1,1,,5.0,alibi-CF,,,0,,,,,9.34138822555542,,0
131,mnist_output_100,14.0,1,1,,6.0,alibi-CF,,,0,,,,,10.386178255081177,,0
132,mnist_output_100,14.0,1,1,,7.0,alibi-CF,,,0,,,,,10.387171268463137,,0
133,mnist_output_100,14.0,1,1,,8.0,alibi-CF,,,0,,,,,9.38043451309204,,0
134,mnist_output_100,14.0,1,1,,9.0,alibi-CF,,,0,,,,,9.60919952392578,,0
135,mnist_output_100,15.0,5,5,,0.0,alibi-CF,,,0,,,,,9.562901973724363,,0
136,mnist_output_100,15.0,5,5,,1.0,alibi-CF,,,0,,,,,9.781252384185793,,0
137,mnist_output_100,15.0,5,5,,2.0,alibi-CF,,,0,,,,,9.641446590423584,,0
138,mnist_output_100,15.0,5,5,,3.0,alibi-CF,,,0,,,,,9.714215755462646,,0
139,mnist_output_100,15.0,5,5,,4.0,alibi-CF,,,0,,,,,10.808015823364258,,0
140,mnist_output_100,15.0,5,5,,6.0,alibi-CF,,,0,,,,,10.745887279510498,,0
141,mnist_output_100,15.0,5,5,,7.0,alibi-CF,,,0,,,,,10.933668851852415,,0
142,mnist_output_100,15.0,5,5,,8.0,alibi-CF,,,0,,,,,10.226237297058104,,0
143,mnist_output_100,15.0,5,5,,9.0,alibi-CF,,,0,,,,,10.662893533706663,,0
144,mnist_output_100,16.0,9,9,,0.0,alibi-CF,,,0,,,,,11.091792345046995,,0
145,mnist_output_100,16.0,9,9,,1.0,alibi-CF,,,0,,,,,10.899717092514038,,0
146,mnist_output_100,16.0,9,9,,2.0,alibi-CF,,,0,,,,,10.32037353515625,,0
147,mnist_output_100,16.0,9,9,,3.0,alibi-CF,,,0,,,,,11.257322072982788,,0
148,mnist_output_100,16.0,9,9,,4.0,alibi-CF,,,0,,,,,10.404451847076416,,0
149,mnist_output_100,16.0,9,9,,5.0,alibi-CF,,,0,,,,,11.154574155807495,,0
150,mnist_output_100,16.0,9,9,,6.0,alibi-CF,,,0,,,,,10.551324367523192,,0
151,mnist_output_100,16.0,9,9,,7.0,alibi-CF,,,0,,,,,12.00028395652771,,0
152,mnist_output_100,16.0,9,9,,8.0,alibi-CF,,,0,,,,,10.908304452896118,,0
153,mnist_output_100,17.0,7,7,,0.0,alibi-CF,,,0,,,,,11.530826330184937,,0
154,mnist_output_100,17.0,7,7,,1.0,alibi-CF,,,0,,,,,10.729733943939207,,0
155,mnist_output_100,17.0,7,7,,2.0,alibi-CF,,,0,,,,,12.242645263671877,,0
156,mnist_output_100,17.0,7,7,,3.0,alibi-CF,,,0,,,,,10.852023363113403,,0
157,mnist_output_100,17.0,7,7,,4.0,alibi-CF,,,0,,,,,11.731030464172363,,0
158,mnist_output_100,17.0,7,7,,5.0,alibi-CF,,,0,,,,,10.854015827178957,,0
159,mnist_output_100,17.0,7,7,,6.0,alibi-CF,,,0,,,,,12.483953714370728,,0
160,mnist_output_100,17.0,7,7,,8.0,alibi-CF,,,0,,,,,10.930671691894531,,0
161,mnist_output_100,17.0,7,7,,9.0,alibi-CF,,,0,,,,,12.038269281387327,,0
162,mnist_output_100,18.0,3,3,,0.0,alibi-CF,,,0,,,,,12.022007942199709,,0
163,mnist_output_100,18.0,3,3,,1.0,alibi-CF,,,0,,,,,11.496465921401978,,0
164,mnist_output_100,18.0,3,3,,2.0,alibi-CF,,,0,,,,,11.099030256271362,,0
165,mnist_output_100,18.0,3,3,,4.0,alibi-CF,,,0,,,,,11.24739933013916,,0
166,mnist_output_100,18.0,3,3,,5.0,alibi-CF,,,0,,,,,12.202580690383911,,0
167,mnist_output_100,18.0,3,3,,6.0,alibi-CF,,,0,,,,,11.377111434936523,,0
168,mnist_output_100,18.0,3,3,,7.0,alibi-CF,,,0,,,,,11.871722936630247,,0
169,mnist_output_100,18.0,3,3,,8.0,alibi-CF,,,0,,,,,11.644326448440552,,0
170,mnist_output_100,18.0,3,3,,9.0,alibi-CF,,,0,,,,,13.117254972457886,,0
171,mnist_output_100,19.0,4,4,,0.0,alibi-CF,,,0,,,,,12.530897617340088,,0
172,mnist_output_100,19.0,4,4,,1.0,alibi-CF,,,0,,,,,12.640605926513672,,0
173,mnist_output_100,19.0,4,4,,2.0,alibi-CF,,,0,,,,,11.607717752456663,,0
174,mnist_output_100,19.0,4,4,,3.0,alibi-CF,,,0,,,,,13.204015731811523,,0
175,mnist_output_100,19.0,4,4,,5.0,alibi-CF,,,0,,,,,12.663612127304075,,0
176,mnist_output_100,19.0,4,4,,6.0,alibi-CF,,,0,,,,,12.246379375457764,,0
177,mnist_output_100,19.0,4,4,,7.0,alibi-CF,,,0,,,,,11.805007934570312,,0
178,mnist_output_100,19.0,4,4,,8.0,alibi-CF,,,0,,,,,11.902546167373655,,0
179,mnist_output_100,19.0,4,4,,9.0,alibi-CF,,,0,,,,,13.651227474212646,,0
180,mnist_output_100,20.0,9,9,,0.0,alibi-CF,,,0,,,,,12.96362805366516,,0
181,mnist_output_100,20.0,9,9,,1.0,alibi-CF,,,0,,,,,13.062592029571531,,0
182,mnist_output_100,20.0,9,9,,2.0,alibi-CF,,,0,,,,,11.98571753501892,,0
183,mnist_output_100,20.0,9,9,,3.0,alibi-CF,,,0,,,,,13.189199924468994,,0
184,mnist_output_100,20.0,9,9,,4.0,alibi-CF,,,0,,,,,12.89043641090393,,0
185,mnist_output_100,20.0,9,9,,5.0,alibi-CF,,,0,,,,,13.175138235092165,,0
186,mnist_output_100,20.0,9,9,,6.0,alibi-CF,,,0,,,,,12.176304817199709,,0
187,mnist_output_100,20.0,9,9,,7.0,alibi-CF,,,0,,,,,13.796402215957642,,0
188,mnist_output_100,20.0,9,9,,8.0,alibi-CF,,,0,,,,,12.160933494567873,,0
189,mnist_output_100,21.0,6,6,,0.0,alibi-CF,,,0,,,,,12.644328594207764,,0
190,mnist_output_100,21.0,6,6,,1.0,alibi-CF,,,0,,,,,13.259188175201416,,0
191,mnist_output_100,21.0,6,6,,2.0,alibi-CF,,,0,,,,,12.485280275344849,,0
192,mnist_output_100,21.0,6,6,,3.0,alibi-CF,,,0,,,,,13.045719385147097,,0
193,mnist_output_100,21.0,6,6,,4.0,alibi-CF,,,0,,,,,13.362054586410522,,0
194,mnist_output_100,21.0,6,6,,5.0,alibi-CF,,,0,,,,,13.536316156387327,,0
195,mnist_output_100,21.0,6,6,,7.0,alibi-CF,,,0,,,,,12.466081142425535,,0
196,mnist_output_100,21.0,6,6,,8.0,alibi-CF,,,0,,,,,13.995012521743774,,0
197,mnist_output_100,21.0,6,6,,9.0,alibi-CF,,,0,,,,,13.576292514801024,,0
198,mnist_output_100,22.0,6,6,,0.0,alibi-CF,,,0,,,,,15.07655930519104,,0
199,mnist_output_100,22.0,6,6,,1.0,alibi-CF,,,0,,,,,13.693220376968384,,0
200,mnist_output_100,22.0,6,6,,2.0,alibi-CF,,,0,,,,,12.901840448379517,,0
201,mnist_output_100,22.0,6,6,,3.0,alibi-CF,,,0,,,,,14.607084035873411,,0
202,mnist_output_100,22.0,6,6,,4.0,alibi-CF,,,0,,,,,12.87337040901184,,0
203,mnist_output_100,22.0,6,6,,5.0,alibi-CF,,,0,,,,,13.258291482925417,,0
204,mnist_output_100,22.0,6,6,,7.0,alibi-CF,,,0,,,,,14.030482053756714,,0
205,mnist_output_100,22.0,6,6,,8.0,alibi-CF,,,0,,,,,14.130369424819946,,0
206,mnist_output_100,22.0,6,6,,9.0,alibi-CF,,,0,,,,,14.228635311126707,,0
207,mnist_output_100,23.0,5,5,,0.0,alibi-CF,,,0,,,,,13.202704906463625,,0
208,mnist_output_100,23.0,5,5,,1.0,alibi-CF,,,0,,,,,14.548102140426636,,0
209,mnist_output_100,23.0,5,5,,2.0,alibi-CF,,,0,,,,,14.179283618927002,,0
210,mnist_output_100,23.0,5,5,,3.0,alibi-CF,,,0,,,,,13.426331281661987,,0
211,mnist_output_100,23.0,5,5,,4.0,alibi-CF,,,0,,,,,14.5429368019104,,0
212,mnist_output_100,23.0,5,5,,6.0,alibi-CF,,,0,,,,,14.496030569076538,,0
213,mnist_output_100,23.0,5,5,,7.0,alibi-CF,,,0,,,,,14.92668628692627,,0
214,mnist_output_100,23.0,5,5,,8.0,alibi-CF,,,0,,,,,13.546168327331545,,0
215,mnist_output_100,23.0,5,5,,9.0,alibi-CF,,,0,,,,,13.71005082130432,,0
216,mnist_output_100,24.0,4,4,,0.0,alibi-CF,,,0,,,,,15.527159929275513,,0
217,mnist_output_100,24.0,4,4,,1.0,alibi-CF,,,0,,,,,14.771183490753174,,0
218,mnist_output_100,24.0,4,4,,2.0,alibi-CF,,,0,,,,,13.933124542236328,,0
219,mnist_output_100,24.0,4,4,,3.0,alibi-CF,,,0,,,,,14.043753623962402,,0
220,mnist_output_100,24.0,4,4,,5.0,alibi-CF,,,0,,,,,15.154808521270752,,0
221,mnist_output_100,24.0,4,4,,6.0,alibi-CF,,,0,,,,,14.04415774345398,,0
222,mnist_output_100,24.0,4,4,,7.0,alibi-CF,,,0,,,,,13.999750137329102,,0
223,mnist_output_100,24.0,4,4,,8.0,alibi-CF,,,0,,,,,15.33482813835144,,0
224,mnist_output_100,24.0,4,4,,9.0,alibi-CF,,,0,,,,,15.25271701812744,,0
225,mnist_output_100,25.0,0,0,,1.0,alibi-CF,,,0,,,,,14.337239503860474,,0
226,mnist_output_100,25.0,0,0,,2.0,alibi-CF,,,0,,,,,14.39289617538452,,0
227,mnist_output_100,25.0,0,0,,3.0,alibi-CF,,,0,,,,,15.537360668182371,,0
228,mnist_output_100,25.0,0,0,,4.0,alibi-CF,,,0,,,,,15.506011486053469,,0
229,mnist_output_100,25.0,0,0,,5.0,alibi-CF,,,0,,,,,14.247910022735596,,0
230,mnist_output_100,25.0,0,0,,6.0,alibi-CF,,,0,,,,,14.310882568359377,,0
231,mnist_output_100,25.0,0,0,,7.0,alibi-CF,,,0,,,,,14.523483753204346,,0
232,mnist_output_100,25.0,0,0,,8.0,alibi-CF,,,0,,,,,15.161855936050417,,0
233,mnist_output_100,25.0,0,0,,9.0,alibi-CF,,,0,,,,,14.683000564575195,,0
234,mnist_output_100,26.0,7,7,7.0,0.0,alibi-CF,1.0,0.031937903341216434,0,39.57189,2.790751,0.83100265,480.1773,17.56745743751526,,0
235,mnist_output_100,26.0,7,7,,1.0,alibi-CF,,,0,,,,,14.009868621826172,,0
236,mnist_output_100,26.0,7,7,,2.0,alibi-CF,,,0,,,,,15.440016984939575,,0
237,mnist_output_100,26.0,7,7,,3.0,alibi-CF,,,0,,,,,15.395028591156006,,0
238,mnist_output_100,26.0,7,7,,4.0,alibi-CF,,,0,,,,,14.410595655441284,,0
239,mnist_output_100,26.0,7,7,,5.0,alibi-CF,,,0,,,,,14.390305757522585,,0
240,mnist_output_100,26.0,7,7,,6.0,alibi-CF,,,0,,,,,15.597439289093018,,0
241,mnist_output_100,26.0,7,7,,8.0,alibi-CF,,,0,,,,,14.577070474624634,,0
242,mnist_output_100,26.0,7,7,,9.0,alibi-CF,,,0,,,,,14.473065614700316,,0
243,mnist_output_100,27.0,4,4,,0.0,alibi-CF,,,0,,,,,14.691308736801147,,0
244,mnist_output_100,27.0,4,4,,1.0,alibi-CF,,,0,,,,,14.815667390823364,,0
245,mnist_output_100,27.0,4,4,,2.0,alibi-CF,,,0,,,,,14.785553455352783,,0
246,mnist_output_100,27.0,4,4,,3.0,alibi-CF,,,0,,,,,14.85227108001709,,0
247,mnist_output_100,27.0,4,4,,5.0,alibi-CF,,,0,,,,,16.102242708206177,,0
248,mnist_output_100,27.0,4,4,,6.0,alibi-CF,,,0,,,,,14.919116497039797,,0
249,mnist_output_100,27.0,4,4,,7.0,alibi-CF,,,0,,,,,14.888928890228271,,0
250,mnist_output_100,27.0,4,4,,8.0,alibi-CF,,,0,,,,,16.20898461341858,,0
251,mnist_output_100,27.0,4,4,,9.0,alibi-CF,,,0,,,,,15.097569704055786,,0
252,mnist_output_100,28.0,0,0,,1.0,alibi-CF,,,0,,,,,14.827916860580444,,0
253,mnist_output_100,28.0,0,0,,2.0,alibi-CF,,,0,,,,,16.39308762550354,,0
254,mnist_output_100,28.0,0,0,,3.0,alibi-CF,,,0,,,,,14.949166774749756,,0
255,mnist_output_100,28.0,0,0,,4.0,alibi-CF,,,0,,,,,15.211915016174316,,0
256,mnist_output_100,28.0,0,0,,5.0,alibi-CF,,,0,,,,,15.134324312210085,,0
257,mnist_output_100,28.0,0,0,,6.0,alibi-CF,,,0,,,,,15.370214700698853,,0
258,mnist_output_100,28.0,0,0,,7.0,alibi-CF,,,0,,,,,16.63108468055725,,0
259,mnist_output_100,28.0,0,0,,8.0,alibi-CF,,,0,,,,,15.46484875679016,,0
260,mnist_output_100,28.0,0,0,,9.0,alibi-CF,,,0,,,,,15.42497444152832,,0
261,mnist_output_100,29.0,1,1,,0.0,alibi-CF,,,0,,,,,16.836721658706665,,0
262,mnist_output_100,29.0,1,1,,2.0,alibi-CF,,,0,,,,,15.645493745803831,,0
263,mnist_output_100,29.0,1,1,,3.0,alibi-CF,,,0,,,,,15.655769348144531,,0
264,mnist_output_100,29.0,1,1,,4.0,alibi-CF,,,0,,,,,17.164909839630127,,0
265,mnist_output_100,29.0,1,1,,5.0,alibi-CF,,,0,,,,,16.046637773513794,,0
266,mnist_output_100,29.0,1,1,,6.0,alibi-CF,,,0,,,,,15.908835411071776,,0
267,mnist_output_100,29.0,1,1,,7.0,alibi-CF,,,0,,,,,16.43487286567688,,0
268,mnist_output_100,29.0,1,1,,8.0,alibi-CF,,,0,,,,,16.018014192581177,,0
269,mnist_output_100,29.0,1,1,,9.0,alibi-CF,,,0,,,,,16.183626890182495,,0
270,mnist_output_100,30.0,3,3,,0.0,alibi-CF,,,0,,,,,16.824686527252197,,0
271,mnist_output_100,30.0,3,3,,1.0,alibi-CF,,,0,,,,,16.210280418395996,,0
272,mnist_output_100,30.0,3,3,,2.0,alibi-CF,,,0,,,,,16.11567234992981,,0
273,mnist_output_100,30.0,3,3,,4.0,alibi-CF,,,0,,,,,17.70337462425232,,0
274,mnist_output_100,30.0,3,3,,5.0,alibi-CF,,,0,,,,,16.81550359725952,,0
275,mnist_output_100,30.0,3,3,,6.0,alibi-CF,,,0,,,,,16.457760095596313,,0
276,mnist_output_100,30.0,3,3,,7.0,alibi-CF,,,0,,,,,17.856027126312256,,0
277,mnist_output_100,30.0,3,3,,8.0,alibi-CF,,,0,,,,,16.198623657226562,,0
278,mnist_output_100,30.0,3,3,,9.0,alibi-CF,,,0,,,,,16.248040199279785,,0
279,mnist_output_100,31.0,1,1,,0.0,alibi-CF,,,0,,,,,17.836597681045532,,0
280,mnist_output_100,31.0,1,1,,2.0,alibi-CF,,,0,,,,,16.637606382369995,,0
